baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ZK512.7	1128.01456914884	-2.91135910497306	0.205162059344184	-11.7534358578831	6.78047032262857e-32	7.71933667343671e-30
C14F11.4	1176.13106755852	-4.07718441727594	0.304647545496948	-11.7420424689152	7.75896769407916e-32	8.77946118896506e-30
C27D9.1	888.911817831788	-3.37560697079168	0.245616853059213	-11.7076940567202	1.1640242708168e-31	1.30913929657862e-29
MEX-5	7051.62935685268	-2.5263640962028	0.173106215637771	-11.7059002690176	1.18890626167507e-31	1.32906828300629e-29
C54D10.14	271.817059439928	4.34339445782595	0.330675411175763	11.6228613556727	3.15393011544193e-31	3.50463958995545e-29
MEG-1	1542.45930904912	-4.4277525809147	0.339695757730324	-11.5625600012139	6.37785911828356e-31	7.04487688440405e-29
SRAP-1	1388.81525663501	2.47906711725309	0.171954133398212	11.5092733052829	1.18472481959853e-30	1.2932316751347e-28
CLEC-17	192.773166230068	5.9930614861123	0.477252403193168	11.5097618144187	1.17803311654803e-30	1.2932316751347e-28
ZTF-15	683.343719576761	-2.15269557934443	0.143819113885889	-11.4914877076474	1.45582921084107e-30	1.57987267050163e-28
C53B7.2	617.303448604706	-6.68429257315445	0.538688550706199	-11.4802747618212	1.65752939224503e-30	1.78830075185413e-28
CLEC-72	296.22860138888	4.09320630601707	0.313237903094402	11.4711734133087	1.84145169388752e-30	1.97524965800409e-28
NDG-4	1387.08234605698	-2.26812935333715	0.154311556973648	-11.4581784281983	2.13967590722002e-30	2.28195205806218e-28
SPSB-2	1125.82409971278	-3.19326180348893	0.235074326907991	-11.4570648310017	2.16735886436627e-30	2.29826733977399e-28
NSPC-7	1318.72569249104	-2.3524852045503	0.161700794474111	-11.4562529551881	2.18776510216801e-30	2.3067248295984e-28
IFF-1	17677.6768866782	-2.01632950875796	0.132403414302679	-11.4523444636524	2.28870409985343e-30	2.39951875598757e-28
T12F5.2	400.478463491799	-2.22174778557508	0.150436376529174	-11.4450229744877	2.49038489644722e-30	2.59629620917815e-28
F58A4.2	497.851909662214	-2.64633673318846	0.188003444540613	-11.4164755780568	3.45981800275219e-30	3.58680685346773e-28
SRI-40	278.47858315074	-5.5741801950567	0.447722204666077	-11.3333226321468	8.9734815939833e-30	9.25116099664156e-28
COL-84	123.575976107533	6.71407891742522	0.550278724380671	11.2926025341413	1.42746314490056e-29	1.46350461767512e-27
C30F12.4	926.028504394847	-2.07515555847398	0.139676472423132	-11.2771716749994	1.70128026062681e-29	1.73465152727756e-27
DEPS-1	2608.77393390619	-1.702108497622	0.106623771448695	-11.2743010427129	1.75768971372593e-29	1.78237420861268e-27
KGB-2	139.68876507998	3.31910075063742	0.250115264583234	11.2712063189541	1.82058288092603e-29	1.83611720224697e-27
TAG-278	779.92436550354	2.68958793997839	0.194544552966068	11.2549434388959	2.18966539709842e-29	2.19641193372731e-27
CPG-1	18062.2955817371	-4.29254117593566	0.337042615153774	-11.252408465337	2.2535310673257e-29	2.24832129120231e-27
RME-2	8827.98715420994	-3.86240215057284	0.298957460745476	-11.2470922859339	2.39353035338846e-29	2.3752268859802e-27
W06B4.1	1628.25613122098	-3.33197771921781	0.252182993245093	-11.2298521116586	2.90965140152864e-29	2.87204260947697e-27
HAM-1	176.652169945929	3.08993609732851	0.231407767955337	11.192087976184	4.45810053959264e-29	4.37719427054078e-27
INX-8	767.100775481358	-2.8979997706241	0.214305741883101	-11.1896197906455	4.5839499252022e-29	4.47707151378828e-27
COL-20	82699.9138012785	-6.2098381415232	0.510827814711824	-11.1776179312873	5.24797311232889e-29	5.09877680866425e-27
C25F9.12	129.809695673796	4.95702980468455	0.399645544991629	11.1524571224181	6.96558820020572e-29	6.73231355370924e-27
W03F11.1	1985.43384752321	-8.42209879291953	0.712803391696884	-11.1140026621652	1.07242209119157e-28	1.03113661897627e-26
CPG-3	8800.63446887361	-3.47458603564741	0.268090248282971	-11.0954652573103	1.31971521019221e-28	1.26236882245035e-26
R11H6.4	285.335977250852	-3.596233707128	0.279321953348321	-11.0848204733372	1.48648306558242e-28	1.41459826912887e-26
COL-50	156.238482883207	7.75015107497412	0.654790248858266	11.0724786870543	1.70615083112771e-28	1.61535923332841e-26
WDR-5.3	932.531036955821	-2.05525157297289	0.140471619314482	-11.0716426603658	1.72214519286399e-28	1.62222580426279e-26
Y69A2AR.19	634.856439177888	-2.66662223112402	0.195739076054273	-11.0689305109588	1.77506339790919e-28	1.66362886237378e-26
TTR-2	6838.61125443229	-2.34237268158115	0.166471729077616	-11.0671805464468	1.81006086430984e-28	1.68790449542702e-26
F45F2.11	1183.4588732589	-2.04457651702876	0.140010153716231	-11.0318893025378	2.68171340513475e-28	2.48822778295428e-26
ERA-1	2043.03000160809	-4.50270232087783	0.36315279533974	-11.0220886972195	2.99038403636316e-28	2.7608237095916e-26
SNF-9	411.188969460162	-2.83524130156759	0.212299956980823	-10.9997257407759	3.83295881207873e-28	3.52119884533391e-26
COL-36	227.803529903698	9.96051973143104	0.861165571267892	10.9857152295375	4.47678399259537e-28	4.09239805667942e-26
CLEC-174	622.118142621347	8.58430431747153	0.738489246779267	10.9470846768984	6.86207151514868e-28	6.24213044640265e-26
MOM-2	1453.7443170791	-2.72689097299174	0.20383701677622	-10.9248604998792	8.76750190900862e-28	7.93651380124258e-26
CBP-2	1012.5884887901	2.19948777450417	0.155680041548831	10.916542400659	9.60842975090343e-28	8.65551606250073e-26
C01G6.3	1126.32385391875	-3.6918611491026	0.293442086216925	-10.8773120797098	1.47858798950568e-27	1.32551484643754e-25
UGT-47	1609.37521228104	-2.1662921930315	0.153496629309275	-10.8555621092769	1.87648675410818e-27	1.67413291807623e-25
CPAR-1	685.742294079564	-2.71479793334795	0.20407860246174	-10.8526710131856	1.93681252424392e-27	1.71968564652604e-25
ZC155.4	953.278967798176	-1.55101989656838	0.0968752327233133	-10.8492115788792	2.01152939752592e-27	1.77752147761373e-25
COL-102	120.824694198282	8.47140244776877	0.735909321329545	10.8320444064591	2.42675744704811e-27	2.12421405400338e-25
C31H1.8	1007.62956781871	-2.37167227885454	0.172787832506913	-10.8321995345341	2.42264890238151e-27	2.12421405400338e-25
F32D1.7	1336.5563182472	-4.502099828529	0.369740865213444	-10.8240668128979	2.64762364073168e-27	2.30666440850037e-25
F40F12.7	1667.8874906389	2.10540548514893	0.148969041629412	10.7767725937492	4.43162704686616e-27	3.84288332283623e-25
B0507.8	862.771364043703	4.55662179414313	0.376767263372059	10.7669168436675	4.93242734475711e-27	4.25725833658873e-25
T20F5.4	112.359982622532	3.62629275772245	0.29064538735057	10.7563818102215	5.5298920138615e-27	4.75084287505684e-25
C50C3.1	709.728723951646	-1.88972186240082	0.129229237843802	-10.753927559958	5.67907596423368e-27	4.85652592941402e-25
LRR-1	993.046169520258	-1.62542017610519	0.104720825182982	-10.7468612297382	6.13126303840162e-27	5.21916734878986e-25
Y42H9B.3	1055.76292759807	-1.93761600200083	0.134038678768297	-10.7253817719729	7.73669205979268e-27	6.55569838144168e-25
W08A12.4	308.114149456022	4.10278538915389	0.336082881718712	10.7199312584128	8.20643034564889e-27	6.92212399655484e-25
C42C1.8	1173.0369756249	-1.67359473506352	0.109688979318369	-10.6992948822798	1.02555632952145e-26	8.61142479951559e-25
TTR-51	15101.7332675128	-1.84501780560414	0.126022629930775	-10.6728276210628	1.36410864755112e-26	1.14025964741469e-24
COL-62	1885.15884440576	-2.53916765763574	0.19185894641988	-10.6284731344926	2.19679492940914e-26	1.82806831861191e-24
COL-179	13641.612374862	-6.62227985367438	0.576734674275524	-10.6154183661057	2.52660030852612e-26	2.09313044309461e-24
IMA-2	6676.88957650917	-1.73679981090045	0.116799007303601	-10.5891294750955	3.34689801293535e-26	2.76037273004628e-24
